(1,1),
(1,2),
(6,5),
(1,3),
(1,4),
(1,5),
(1,6),
(1,7),
(1,8),
(1,9),
(1,10),
(1,11),
(1,12),
(1,13),
(1,14),
(1,15),
(1,16),
(2,16),
(3,16),
(4,16),
(5,16),
(6,16),
(7,16),
(8,16),
(9,16),
(10,16),
(11,16),
(12,16),
(13,16),
(14,16),
(15,16),
(16,16),
(17,16),
(18,16),
(19,16),
(20,16),
(20,15),
(20,14),
(20,13),
(20,12),
(20,11),
(20,10),
(20,9),
(20,8),
(20,7),
(20,6),
(20,5),
(20,4),
(20,3),
(20,2),
(20,1),
(19,1),
(18,1),
(17,1),
(16,1),
(15,1),
(14,1),
(13,1),
(12,1),
(11,1),
(10,1),
(9,1),
(8,1),
(7,1),
(6,1),
(5,1),
(4,1),
(3,1),
(2,1),
(5,5),
(5,6),
(5,7),
(5,8),
(5,9),
(5,10),
(5,11),
(5,12),
(6,12),
(7,12),
(8,12),
(9,12),
(10,12),
(11,12),
(12,12),
(13,12),
(14,12),
(15,12),
(16,11),
(16,10),
(16,9),
(16,8),
(16,7),
(16,6),
(16,5),
(15,5),
(14,5),
(13,5),
(12,5),
(11,5),
(10,5),
(9,5),
(8,5),
(7,5),
;
(5,9),
(1,9)
;
(5,8),
(1,8)
